2025-01-09 18:16:34,607 [INFO] 访问主页
2025-01-09 18:16:42,502 [INFO] 收到下载请求: https://youtube.com/shorts/-CY1bWJXKKc?si=JNHKRu5n8A7Tv5_Y
2025-01-09 18:16:42,503 [INFO] 开始下载视频: https://youtube.com/shorts/-CY1bWJXKKc?si=JNHKRu5n8A7Tv5_Y
2025-01-09 18:16:42,731 [INFO] 正在获取视频信息...
2025-01-09 18:16:48,994 [INFO] 视频信息: Sebastian vs Mom 😱 WHAT?!
2025-01-09 18:16:48,995 [INFO] 开始下载文件...
2025-01-09 18:17:03,347 [INFO] 视频 -CY1bWJXKKc 下载完成
2025-01-09 18:17:07,853 [INFO] 视频 -CY1bWJXKKc 下载完成
2025-01-09 18:17:08,555 [INFO] 文件下载完成
2025-01-09 18:17:08,556 [INFO] 计算文件大小: 1.2532873153686523MB
2025-01-09 18:17:08,556 [INFO] 未找到缩略图，从视频中提取...
2025-01-09 18:17:09,111 [INFO] 视频信息已保存到数据库，文件大小: 1.25MB
2025-01-09 18:17:20,299 [INFO] 访问主页
2025-01-09 18:18:08,579 [INFO] 收到下载请求: https://youtube.com/shorts/eTFPBbfYjdU?si=bYfyT-iLkkDIgnx-
2025-01-09 18:18:08,580 [INFO] 开始下载视频: https://youtube.com/shorts/eTFPBbfYjdU?si=bYfyT-iLkkDIgnx-
2025-01-09 18:18:08,678 [INFO] 正在获取视频信息...
2025-01-09 18:18:13,107 [INFO] 视频信息: I Threw Away My Expensive Juicer After Trying THIS! #goodthing
2025-01-09 18:18:13,107 [INFO] 开始下载文件...
2025-01-09 18:18:22,291 [INFO] 视频 eTFPBbfYjdU 下载完成
2025-01-09 18:18:26,351 [INFO] 视频 eTFPBbfYjdU 下载完成
2025-01-09 18:18:26,957 [INFO] 文件下载完成
2025-01-09 18:18:26,957 [INFO] 计算文件大小: 1.280837059020996MB
2025-01-09 18:18:26,957 [INFO] 未找到缩略图，从视频中提取...
2025-01-09 18:18:27,396 [INFO] 视频信息已保存到数据库，文件大小: 1.28MB
2025-01-09 18:21:49,880 [INFO] 访问主页
2025-01-09 18:21:57,067 [INFO] 收到下载请求: https://youtube.com/shorts/OE1mRsNz85k?si=q6EKDk80teu65--A
2025-01-09 18:21:57,068 [INFO] 开始下载视频: https://youtube.com/shorts/OE1mRsNz85k?si=q6EKDk80teu65--A
2025-01-09 18:21:57,226 [INFO] 正在获取视频信息...
2025-01-09 18:22:02,395 [INFO] 视频信息: اول تجربة لي بالتصوير 📸!
2025-01-09 18:22:02,396 [INFO] 开始下载文件...
2025-01-09 18:22:12,055 [INFO] 视频 OE1mRsNz85k 下载完成
2025-01-09 18:22:17,620 [INFO] 视频 OE1mRsNz85k 下载完成
2025-01-09 18:22:18,933 [INFO] 文件下载完成
2025-01-09 18:22:18,933 [INFO] 计算文件大小: 0.7537813186645508MB
2025-01-09 18:22:18,934 [INFO] 未找到缩略图，从视频中提取...
2025-01-09 18:22:19,308 [INFO] 视频信息已保存到数据库，文件大小: 0.75MB
2025-01-09 18:22:19,395 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,399 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,401 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,405 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,407 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,409 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,411 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,416 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,418 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,424 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,426 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,428 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,431 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,433 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,435 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,441 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,445 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,448 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,453 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,455 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,457 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,460 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,464 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,475 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,484 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,486 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,487 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,489 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
2025-01-09 18:22:19,498 [INFO] 进度查询 - 视频ID: OE1mRsNz85k, 进度: 0%
